Lake,Code,Maori.Depth,European.Depth
Kohangapiripiri,3,54.94,17.94
Kohangatera,4,82.76,12.76
Nganoke,195,62.28,51.28
Pounui,229,40.9,19.4
Waiorongomai,841,70.8,37.8
Rototawai,1744,76.61,26.61
Rotokare,7512,89.49,50.33
McKay,8138,30.73,4.73
Dudding,13447,91.2,40.2
Rotokotuku,13736,18.79,6.79
Rotomanuka,14428,44.2,34.2
Lake B,15038,38.62,33.62
Kawau,16722,78.63,63.63
Oporoa,17286,40.7,30.7
Wiritoa,18934,90.06,42.06
Tomarata,21871,Inf,25.3
Taharoa,21917,14.4,10.4
Spectacle,22999,Inf,36.6
Ngatu,23691,16.27,4.27
Waiporohita,24415,45.6,29.6
Wahakari,24620,24,14
Morehurehu,24628,26.4,16.4
Te Kahika,24633,45.5,20.5
Peel,24701,27.15,4.15
Lockett,24960,8.7,4.7
Otuhie,25519,63.01,21.01
Mangarakau,25748,53.36,7.36
West Kaihoka Lake,25789,57.85,22.85
East Kaihoka Lake,25790,102.2,37.2
Rotorua,25994,107.27,35.84
Horseshoe,26277,75.02,27.02
McRae,27286,61.29,31.29
Hay,29073,61.6,44.1
Bright,29614,27,8.4
Whakaki,34665,37.01,25.01
Horseshoe,35422,59.21,34.21
Kaweka 1,36742,51.2,17.2
Kaurapataka,39050,67,37.2
Mason,39297,70.8,15.8
Katrine,39364,92.3,42.4
Marion,39367,62.67,22.67
Emma,41299,19.16,7.16
Camp,41306,15.4,4.3
Vincent,43649,28.19,4.19
Waihola,44391,46.7,31.7
Tomohawk Lagoon 2,44747,88.49,40.49
45434,45434,11.4,5.7
Greaney,46138,32,8.5
Duncan Stream 1,46493,11.6,3.1
Duncan Stream 2,46496,13.1,3.7
Alpine,46954,16.6,4.3
Hartley Tarn,47225,44.72,34.72
Forsyth,47579,29.49,14.49
Emily,47860,73.42,28.42
Heron,47892,90.59,23.39
Pearson,48660,27.16,19.16
Kereta,49884,76.61,45.61
Pupuke,50151,88.98,37.98
Kahuparere,50371,39.21,6.21
Richter,51958,26.1,5.1
Thomas,52115,44.21,19.21
Blue,53304,27.89,9.89
Skeleton,53315,50.31,10.31
South.Mavora,53338,35.34,10.34
Moke,53549,41.37,11.37
Harris,54088,73.09,13.09
54655,54655,53.95,18.95
Killarney,L380.3,86.79,31.79
Moawhitu,L380.1,67.4,35.4
Pauri,18933,37.78,12.78
Haupiri,39225,71.2,23.7
Tomohawk Lagoon 1,44746,72.82,22.82
Alexandrina,47193,81.86,49.86
Rotorua,11133,423.9,134.2
Okareka,15325,243.22,80.25
Tennyson,26477,320.65,27.1
Rotoiti,27762,84.58,34.08
Opouahi,32478,178.02,56.97
Tutira,36981,442.91,184.7
Rotonuiaha,37534,293.1,115.18
Kaniere,38502,104.2,29.8
Waihau,40590,263.44,86.99
Ohau,45514,282.6,81.15
Moeraki,46723,493.8,244.9
Paringa,46725,Inf,85.6
Okataina,54731,135.18,54.52
Karere,4509,Inf,80.42
Moumahaki,16131,Inf,293.8
Onoke,1,Inf,40.65
Taharoa,12876,Inf,43.01
Alice,13456,Inf,43.87
Tutaeinanga,14071,Inf,Inf
Ngahewa,14208,Inf,Inf
Okaro,14290,Inf,Inf
Kaikura,15795,Inf,48.54
Westmere,18951,Inf,38.39
Ngakeketo,21433,Inf,86.99
Chalice,25044,Inf,56.07
Mata Kopae Lagoon,25972,Inf,11.97
Elterwater,27936,Inf,21.96
Rotoehu,40188,Inf,42.43
Karangata,40534,Inf,49.6
Eggeling,41679,Inf,79.8
Tuakitoto,44599,39.25,9.25
Douglas,46212,Inf,35.33
Ianthe,47491,Inf,57.24
Kuwakatai,50269,Inf,42.51
Rototoa,50270,Inf,22.23
Norma,52167,Inf,66.49
Rototai,L380.2,Inf,42.62
Waipu,16939,Inf,108.83
Voss,4506,Inf,Inf
Waikare,16222,Inf,25.58
Ngapouri,14179,Inf,Inf
Kapoai,21759,Inf,61.39
Heaton,13466,Inf,68.95
William,13437,85.51,47.51
