"","Lake.Code","TS"
"1","Onoke.1","Supertrophic"
"2","Kohangapiripiri.3","Mesotrophic"
"3","Kohangatera.4","Eutrophic"
"4","Nganoke.195","Supertrophic"
"5","Pounui.229","Mesotrophic"
"6","Waiorongomai.841","Supertrophic"
"7","Rototawai.1744","Supertrophic"
"8","Voss.4506","Supertrophic"
"9","Karere.4509","Supertrophic"
"10","Rotokare.7512","Supertrophic"
"11","McKay.8138","Oligotrophic"
"12","Rotorua.11133","Eutrophic"
"13","Taharoa.12876","Mesotrophic"
"14","William.13437","Supertrophic"
"15","Dudding.13447","Supertrophic"
"16","Alice.13456","Eutrophic"
"17","Heaton.13466","Supertrophic"
"18","Rotokotuku.13736","Oligotrophic"
"19","Tutaeinanga.14071","Supertrophic"
"20","Ngapouri.14179","Eutrophic"
"21","Ngahewa.14208","Eutrophic"
"22","Okaro.14290","Supertrophic"
"23","Rotomanuka.14428","Eutrophic"
"24","Lake B.15038","Supertrophic"
"25","Okareka.15325","Eutrophic"
"26","Kaikura.15795","Eutrophic"
"27","Moumahaki.16131","Supertrophic"
"28","Waikare.16222","Eutrophic"
"29","Kawau.16722","Supertrophic"
"30","Waipu.16939","Supertrophic"
"31","Oporoa.17286","Supertrophic"
"32","Pauri.18933","Supertrophic"
"33","Wiritoa.18934","Supertrophic"
"34","Westmere.18951","Supertrophic"
"35","Ngakeketo.21433","Eutrophic"
"36","Kapoai.21759","Supertrophic"
"37","Tomarata.21871","Eutrophic"
"38","Taharoa.21917","Oligotrophic"
"39","Spectacle.22999","Supertrophic"
"40","Ngatu.23691","Mesotrophic"
"41","Wai Raupo.21434","Eutrophic"
"42","Waiporohita.24415","Eutrophic"
"43","Wahakari.24620","Mesotrophic"
"44","Morehurehu.24628","Mesotrophic"
"45","Te Kahika.24633","Oligotrophic"
"46","Peel.24701","Mesotrophic"
"47","Lockett.24960","Oligotrophic"
"48","Chalice.25044","Mesotrophic"
"49","Otuhie.25519","Eutrophic"
"50","Mangarakau.25748","Mesotrophic"
"51","West Kaihoka Lake.25789","Mesotrophic"
"52","East Kaihoka Lake.25790","Mesotrophic"
"53","Mata Kopae Lagoon.25972","Supertrophic"
"54","Rotorua.25994","Supertrophic"
"55","Horseshoe.26277","Eutrophic"
"56","Tennyson.26477","Oligotrophic"
"57","McRae.27286","Oligotrophic"
"58","Rotoiti.27762","Oligotrophic"
"59","Elterwater.27936","Supertrophic"
"60","Hay.29073","Oligotrophic"
"61","Bright.29614","Oligotrophic"
"62","Opouahi.32478","Eutrophic"
"63","Whakaki.34665","Supertrophic"
"64","Horseshoe.35422","Eutrophic"
"65","Kaweka 1.36742","Mesotrophic"
"66","Tutira.36981","Eutrophic"
"67","Rotonuiaha.37534","Supertrophic"
"68","Kaniere.38502","Oligotrophic"
"69","Kaurapataka.39050","Mesotrophic"
"70","Haupiri.39225","Mesotrophic"
"71","Mason.39297","Mesotrophic"
"72","Katrine.39364","Oligotrophic"
"73","Marion.39367","Eutrophic"
"74","Rotoehu.40188","Eutrophic"
"75","Karangata.40534","Supertrophic"
"76","Waihau.40590","Supertrophic"
"77","Emma.41299","Eutrophic"
"78","Camp.41306","Mesotrophic"
"79","Eggeling.41679","Mesotrophic"
"80","Vincent.43649","Mesotrophic"
"81","Waihola.44391","Eutrophic"
"82","Tuakitoto.44599","Supertrophic"
"83","Tomohawk Lagoon 1.44746","Supertrophic"
"84","Tomohawk Lagoon 2.44747","Supertrophic"
"85","45434.45434","Oligotrophic"
"86","Ohau.45514","Oligotrophic"
"87","Greaney.46138","Oligotrophic"
"88","Douglas.46212","Mesotrophic"
"89","Duncan Stream 1.46493","Oligotrophic"
"90","Duncan Stream 2.46496","Mesotrophic"
"91","Moeraki.46723","Mesotrophic"
"92","Paringa.46725","Mesotrophic"
"93","Alpine.46954","Oligotrophic"
"94","Alexandrina.47193","Mesotrophic"
"95","Hartley Tarn.47225","Mesotrophic"
"96","Ianthe.47491","Mesotrophic"
"97","Forsyth.47579","Supertrophic"
"98","Emily.47860","Eutrophic"
"99","Heron.47892","Mesotrophic"
"100","Pearson.48660","Mesotrophic"
"101","Kereta.49884","Supertrophic"
"102","Pupuke.50151","Supertrophic"
"103","Kuwakatai.50269","Supertrophic"
"104","Rototoa.50270","Eutrophic"
"105","Kahuparere.50371","Eutrophic"
"106","Richter.51958","Oligotrophic"
"107","Thomas.52115","Mesotrophic"
"108","Norma.52167","Oligotrophic"
"109","Blue.53304","Oligotrophic"
"110","Skeleton.53315","Oligotrophic"
"111","South.Mavora.53338","Oligotrophic"
"112","Moke.53549","Eutrophic"
"113","Harris.54088","Oligotrophic"
"114","54655.54655","Eutrophic"
"115","Okataina.54731","Mesotrophic"
"116","Moawhitu.L380.1","Supertrophic"
"117","Rototai.L380.2","Mesotrophic"
"118","Killarney.L380.3","Supertrophic"
